Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Carbs,Fiber,Protein,Fat,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium
Male,18 years,4 ft. 0 in.,88 lbs.,Sedentary,26.9,"1,166 kcal/day","131 - 189 grams
",38 grams,34 grams,"32 - 45 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,90 lbs.,Sedentary,27.5,"1,190 kcal/day","134 - 193 grams
",38 grams,35 grams,"33 - 46 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,93 lbs.,Sedentary,28.4,"1,227 kcal/day","138 - 199 grams
",38 grams,36 grams,"34 - 48 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,95 lbs.,Sedentary,29,"1,251 kcal/day","141 - 203 grams
",38 grams,37 grams,"35 - 49 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,97 lbs.,Sedentary,29.6,"1,275 kcal/day","143 - 207 grams
",38 grams,37 grams,"35 - 50 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,99 lbs.,Sedentary,30.2,"1,299 kcal/day","146 - 211 grams
",38 grams,38 grams,"36 - 51 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,101 lbs.,Sedentary,30.8,"1,323 kcal/day","149 - 215 grams
",38 grams,39 grams,"37 - 51 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,104 lbs.,Sedentary,31.7,"1,360 kcal/day","153 - 221 grams
",38 grams,40 grams,"38 - 53 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,106 lbs.,Sedentary,32.3,"1,384 kcal/day","156 - 225 grams
",38 grams,41 grams,"38 - 54 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,108 lbs.,Sedentary,33,"1,408 kcal/day","158 - 229 grams
",38 grams,42 grams,"39 - 55 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,110 lbs.,Sedentary,33.6,"1,432 kcal/day","161 - 233 grams
",38 grams,42 grams,"40 - 56 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,112 lbs.,Sedentary,34.2,"1,457 kcal/day","164 - 237 grams
",38 grams,43 grams,"40 - 57 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,115 lbs.,Sedentary,35.1,"1,493 kcal/day","168 - 243 grams
",38 grams,44 grams,"41 - 58 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,117 lbs.,Sedentary,35.7,"1,517 kcal/day","171 - 247 grams
",38 grams,45 grams,"42 - 59 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,119 lbs.,Sedentary,36.3,"1,541 kcal/day","173 - 250 grams
",38 grams,46 grams,"43 - 60 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,121 lbs.,Sedentary,36.9,"1,566 kcal/day","176 - 254 grams
",38 grams,47 grams,"44 - 61 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,4 ft. 0 in.,123 lbs.,Sedentary,37.5,"1,590 kcal/day","179 - 258 grams
",38 grams,47 grams,"44 - 62 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
