Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Fiber,Protein,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium,Carbs_min (gram),Carbs_max (gram),Fat_min (gram),Fat_max (gram)
1,18.0,121.92,88.0,Sedentary,26.9,1166.0,38.0,34.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,131.0,189.0,32.0,45.0
1,18.0,121.92,90.0,Sedentary,27.5,1190.0,38.0,35.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,134.0,193.0,33.0,46.0
1,18.0,121.92,93.0,Sedentary,28.4,1227.0,38.0,36.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,138.0,199.0,34.0,48.0
1,18.0,121.92,95.0,Sedentary,29.0,1251.0,38.0,37.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,141.0,203.0,35.0,49.0
1,18.0,121.92,97.0,Sedentary,29.6,1275.0,38.0,37.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,143.0,207.0,35.0,50.0
1,18.0,121.92,99.0,Sedentary,30.2,1299.0,38.0,38.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,146.0,211.0,36.0,51.0
1,18.0,121.92,101.0,Sedentary,30.8,1323.0,38.0,39.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,149.0,215.0,37.0,51.0
1,18.0,121.92,104.0,Sedentary,31.7,1360.0,38.0,40.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,153.0,221.0,38.0,53.0
1,18.0,121.92,106.0,Sedentary,32.3,1384.0,38.0,41.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,156.0,225.0,38.0,54.0
1,18.0,121.92,108.0,Sedentary,33.0,1408.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,158.0,229.0,39.0,55.0
1,18.0,121.92,110.0,Sedentary,33.6,1432.0,38.0,42.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,161.0,233.0,40.0,56.0
1,18.0,121.92,112.0,Sedentary,34.2,1457.0,38.0,43.0,3.3,75.0,900.0,15.0,15.0,2.4,75.0,16.0,1300.0,164.0,237.0,40.0,57.0
