Sex,Age,Height,Weight,Activity Level,BMI,Daily Calories,Carbs,Fiber,Protein,Fat,Water,Vitamin C,Vitamin A,Vitamin D,Vitamin E,Vitamin B12,Vitamin K,Niacin,Calcium
Male,18 years,5 ft. 0 in.,165 lbs.,Sedentary,32.2,"2,374 kcal/day","267 - 386 grams
",38 grams,64 grams,"66 - 92 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,168 lbs.,Sedentary,32.8,"2,410 kcal/day","271 - 392 grams
",38 grams,65 grams,"67 - 94 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,170 lbs.,Sedentary,33.2,"2,434 kcal/day","274 - 396 grams
",38 grams,66 grams,"68 - 95 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,172 lbs.,Sedentary,33.6,"2,459 kcal/day","277 - 400 grams
",38 grams,66 grams,"68 - 96 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,174 lbs.,Sedentary,34,"2,483 kcal/day","279 - 403 grams
",38 grams,67 grams,"69 - 97 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,176 lbs.,Sedentary,34.4,"2,507 kcal/day","282 - 407 grams
",38 grams,68 grams,"70 - 97 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,179 lbs.,Sedentary,35,"2,543 kcal/day","286 - 413 grams
",38 grams,69 grams,"71 - 99 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,181 lbs.,Sedentary,35.3,"2,568 kcal/day","289 - 417 grams
",38 grams,70 grams,"71 - 100 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,182 lbs.,Sedentary,35.7,"2,592 kcal/day","292 - 421 grams
",38 grams,71 grams,"72 - 101 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,185 lbs.,Sedentary,36.1,"2,616 kcal/day","294 - 425 grams
",38 grams,71 grams,"73 - 102 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,187 lbs.,Sedentary,36.5,"2,640 kcal/day","297 - 429 grams
",38 grams,72 grams,"73 - 103 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,190 lbs.,Sedentary,37.1,"2,677 kcal/day","301 - 435 grams
",38 grams,73 grams,"74 - 104 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,192 lbs.,Sedentary,37.5,"2,701 kcal/day","304 - 439 grams
",38 grams,74 grams,"75 - 105 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,194 lbs.,Sedentary,37.9,"2,725 kcal/day","307 - 443 grams
",38 grams,75 grams,"76 - 106 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,196 lbs.,Sedentary,38.3,"2,749 kcal/day","309 - 447 grams
",38 grams,76 grams,"76 - 107 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,198 lbs.,Sedentary,38.7,"2,773 kcal/day","312 - 451 grams
",38 grams,76 grams,"77 - 108 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,201 lbs.,Sedentary,39.3,"2,810 kcal/day","316 - 457 grams
",38 grams,77 grams,"78 - 109 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,203 lbs.,Sedentary,39.6,"2,834 kcal/day","319 - 461 grams
",38 grams,78 grams,"79 - 110 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,205 lbs.,Sedentary,40,"2,858 kcal/day","322 - 464 grams
",38 grams,79 grams,"79 - 111 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,207 lbs.,Sedentary,40.4,"2,882 kcal/day","324 - 468 grams
",38 grams,80 grams,"80 - 112 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,209 lbs.,Sedentary,40.8,"2,907 kcal/day","327 - 472 grams
",38 grams,81 grams,"81 - 113 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
Male,18 years,5 ft. 0 in.,212 lbs.,Sedentary,41.4,"2,943 kcal/day","331 - 478 grams
",38 grams,82 grams,"82 - 114 grams
","3.3 liters (about 14 cups)
",75 mg,900 mcg,15 mcg,15 mg,2.4 mcg,75 mcg,16 mg,"1,300 mg"
